LOG_ID,STR_NBR,STR_FRAC,STR_DIR,STR_NAME,STR_SUFF,STR_SUFF_DIR,STR_UNIT,ZIP_CODE,TYPE
26424,1027,,W,11TH,ST,,1,90731,Condo
34116,1027,,W,11TH,ST,,10,90731,Condo
34113,1027,,W,11TH,ST,,2,90731,Condo
34114,1027,,W,11TH,ST,,3,90731,Condo
34115,1027,,W,11TH,ST,,4,90731,Condo
34121,1027,,W,11TH,ST,,5,90731,Condo
34117,1027,,W,11TH,ST,,6,90731,Condo
34118,1027,,W,11TH,ST,,7,90731,Condo
34119,1027,,W,11TH,ST,,8,90731,Condo
34120,1027,,W,11TH,ST,,9,90731,Condo
26429,1600,,W,235TH,ST,,A,90710,Condo
34136,1600,,W,235TH,ST,,B,90710,Condo
34135,1600,,W,235TH,ST,,C,90710,Condo
34134,1600,,W,235TH,ST,,D,90710,Condo
26468,1601,,W,235TH,ST,,A,90710,Condo
34332,1601,,W,235TH,ST,,B,90710,Condo
34331,1601,,W,235TH,ST,,C,90710,Condo
34330,1601,,W,235TH,ST,,D,90710,Condo
26428,1602,,W,235TH,ST,,A,90710,Condo
34133,1602,,W,235TH,ST,,B,90710,Condo
34132,1602,,W,235TH,ST,,C,90710,Condo
34131,1602,,W,235TH,ST,,D,90710,Condo
26430,1640,,W,235TH,ST,,A,90710,Condo
34137,1640,,W,235TH,ST,,B,90710,Condo
34138,1640,,W,235TH,ST,,C,90710,Condo
34139,1640,,W,235TH,ST,,D,90710,Condo
26456,1641,,W,235TH,ST,,A,90710,Condo
34294,1641,,W,235TH,ST,,B,90710,Condo
34295,1641,,W,235TH,ST,,C,90710,Condo
34296,1641,,W,235TH,ST,,D,90710,Condo
26431,1650,,W,235TH,ST,,A,90710,Condo
34140,1650,,W,235TH,ST,,B,90710,Condo
34141,1650,,W,235TH,ST,,C,90710,Condo
34142,1650,,W,235TH,ST,,D,90710,Condo
26457,1651,,W,235TH,ST,,A,90710,Condo
34297,1651,,W,235TH,ST,,B,90710,Condo
34299,1651,,W,235TH,ST,,C,90710,Condo
34298,1651,,W,235TH,ST,,D,90710,Condo
26440,1601,,W,237TH,ST,,A,90710,Condo
34247,1601,,W,237TH,ST,,B,90710,Condo
34246,1601,,W,237TH,ST,,C,90710,Condo
34248,1601,,W,237TH,ST,,D,90710,Condo
26439,1641,,W,237TH,ST,,A,90710,Condo
34243,1641,,W,237TH,ST,,B,90710,Condo
34244,1641,,W,237TH,ST,,C,90710,Condo
34245,1641,,W,237TH,ST,,D,90710,Condo
26421,665,,W,24TH,ST,,101,90731,Condo
34084,665,,W,24TH,ST,,102,90731,Condo
34072,665,,W,24TH,ST,,103,90731,Condo
34073,665,,W,24TH,ST,,104,90731,Condo
34074,665,,W,24TH,ST,,205,90731,Condo
34075,665,,W,24TH,ST,,206,90731,Condo
34076,665,,W,24TH,ST,,207,90731,Condo
34077,665,,W,24TH,ST,,208,90731,Condo
34078,665,,W,24TH,ST,,213,90731,Condo
34079,665,,W,24TH,ST,,309,90731,Condo
34080,665,,W,24TH,ST,,310,90731,Condo
