geocode_input,match,match_type,match_address,longitude,latitude,parcel_number,join_type,log_id,street_number,street_direction,street_name,street_suffix,street_unit,zip_code
"13837 W RIVERSIDE DR, , CA, 91423",Match,Exact,"13837 RIVERSIDE DR, SHERMAN OAKS, CA, 91423",-118.43415604799998,34.15761570700005,141561907,R,29288,13837,W,RIVERSIDE,DR,,91423
"13839 W RIVERSIDE DR, , CA, 91423",Match,Exact,"13839 RIVERSIDE DR, SHERMAN OAKS, CA, 91423",-118.43418700099994,34.15761570700005,141561907,R,25595,13839,W,RIVERSIDE,DR,,91423
"13841 W RIVERSIDE DR, , CA, 91423",Match,Exact,"13841 RIVERSIDE DR, SHERMAN OAKS, CA, 91423",-118.43421795499995,34.15761570700005,141561907,R,29289,13841,W,RIVERSIDE,DR,,91423
"13843 W RIVERSIDE DR, , CA, 91423",Match,Exact,"13843 RIVERSIDE DR, SHERMAN OAKS, CA, 91423",-118.43424890799997,34.15761570700005,141561907,R,29290,13843,W,RIVERSIDE,DR,,91423
"13845 W RIVERSIDE DR, , CA, 91423",Match,Exact,"13845 RIVERSIDE DR, SHERMAN OAKS, CA, 91423",-118.434279861,34.15761570700005,141561907,R,29291,13845,W,RIVERSIDE,DR,,91423
"13847 W RIVERSIDE DR, , CA, 91423",Match,Exact,"13847 RIVERSIDE DR, SHERMAN OAKS, CA, 91423",-118.43431081399996,34.15761570700005,141561907,R,25596,13847,W,RIVERSIDE,DR,,91423
"13849 W RIVERSIDE DR, , CA, 91423",Match,Exact,"13849 RIVERSIDE DR, SHERMAN OAKS, CA, 91423",-118.43434176699998,34.15761570700005,141561907,R,29292,13849,W,RIVERSIDE,DR,,91423
"13851 W RIVERSIDE DR, , CA, 91423",Match,Exact,"13851 RIVERSIDE DR, SHERMAN OAKS, CA, 91423",-118.43437271999994,34.15761570700005,141561907,R,29293,13851,W,RIVERSIDE,DR,,91423
"13853 W RIVERSIDE DR, , CA, 91423",Match,Exact,"13853 RIVERSIDE DR, SHERMAN OAKS, CA, 91423",-118.43440367299996,34.15761570700005,141561907,R,29294,13853,W,RIVERSIDE,DR,,91423
"13855 W RIVERSIDE DR, , CA, 91423",Match,Exact,"13855 RIVERSIDE DR, SHERMAN OAKS, CA, 91423",-118.43443462599998,34.15761570700005,141561907,R,29295,13855,W,RIVERSIDE,DR,,91423
